Unnamed: 0,Date,Close,pred_sig
0.0,2024-10-24 00:00:00+00:00,1.100000023841858,0
1.0,2024-10-25 00:00:00+00:00,1.090000033378601,0
4.0,2024-10-28 00:00:00+00:00,1.2799999713897705,1
5.0,2024-10-29 00:00:00+00:00,1.2200000286102295,-1
6.0,2024-10-30 00:00:00+00:00,1.25,0
7.0,2024-10-31 00:00:00+00:00,1.1200000047683716,-1
8.0,2024-11-01 00:00:00+00:00,1.1299999952316284,-1
11.0,2024-11-04 00:00:00+00:00,1.0499999523162842,0
12.0,2024-11-05 00:00:00+00:00,1.159999966621399,0
13.0,2024-11-06 00:00:00+00:00,1.0800000429153442,-1
14.0,2024-11-07 00:00:00+00:00,1.350000023841858,-1
15.0,2024-11-08 00:00:00+00:00,1.4299999475479126,1
18.0,2024-11-11 00:00:00+00:00,1.409999966621399,1
19.0,2024-11-12 00:00:00+00:00,1.3799999952316284,0
20.0,2024-11-13 00:00:00+00:00,2.6600000858306885,1
21.0,2024-11-14 00:00:00+00:00,4.400000095367432,0
22.0,2024-11-15 00:00:00+00:00,3.0999999046325684,0
25.0,2024-11-18 00:00:00+00:00,2.390000104904175,0
26.0,2024-11-19 00:00:00+00:00,2.539999961853028,-1
27.0,2024-11-20 00:00:00+00:00,3.680000066757202,0
28.0,2024-11-21 00:00:00+00:00,4.760000228881836,-1
,2024-11-25 00:00:00+00:00,7.699999809265137,0
,2024-11-26 00:00:00+00:00,6.650000095367432,0
,2024-11-27 00:00:00+00:00,6.75,0
,2024-12-02 00:00:00+00:00,6.110000133514404,-1
,2024-12-03 00:00:00+00:00,6.170000076293945,0
,2024-12-04 00:00:00+00:00,7.010000228881836,0
,2024-12-05 00:00:00+00:00,7.260000228881836,0
,2024-12-06 00:00:00+00:00,7.929999828338623,1
,2024-12-09 00:00:00+00:00,7.46999979019165,0
,2024-12-10 00:00:00+00:00,7.619999885559082,0
,2024-12-11 00:00:00+00:00,6.400000095367432,-1
,2024-12-12 00:00:00+00:00,6.360000133514404,-1
,2024-12-13 00:00:00+00:00,6.704999923706055,1
,2024-12-16 00:00:00+00:00,11.079999923706056,-1
,2024-12-17 00:00:00+00:00,16.790000915527344,-1
,2024-12-18 00:00:00+00:00,25.68000030517578,0
,2024-12-19 00:00:00+00:00,15.140000343322754,1
,2024-12-20 00:00:00+00:00,17.6200008392334,0
,2024-12-23 00:00:00+00:00,18.190000534057617,-1
,2024-12-26 00:00:00+00:00,19.239999771118164,-1
,2024-12-27 00:00:00+00:00,18.350000381469727,1
,2024-12-27 00:00:00+00:00,18.350000381469727,-1
,2024-12-31 00:00:00+00:00,16.549999237060547,1
,2024-12-31 00:00:00+00:00,16.549999237060547,1
